Buy	GOOG	20	$568.964	$11379.3	08:25:59
Buy	IBM	40	$126.96	$5078.4	08:26:13
Buy	AMZN	30	$132.66	$3979.8	08:27:06
Buy	IBM	50	$130.96	$6548	09:59:40
Buy	GOOG	4	$568.964	$2275.86	13:33:12
Buy	IBM	15	$130.96	$1964.4	13:35:39
Buy	IBM	56	$130.96	$7333.76	14:00:47
Buy	IBM	50	$130.96	$6548	14:11:57
Buy	AMZN	5	$132.66	$663.3	14:13:33
Buy	AMZN	50	$132.66	$6633	14:16:53
Buy	AMZN	50	$132.66	$6633	14:19:27
Buy	IBM	20	$130.96	$2619.2	15:32:45
Buy	AMZN	20	$132.66	$2653.2	15:34:20
Buy	IBM	150	$130.96	$19644	15:52:54
Buy	GOOG	2	$568.964	$1137.93	16:08:11
Buy	GOOG	10	$568.964	$5689.64	16:15:02
Buy	AMZN	5	$132.66	$663.3	16:16:10
Buy	GOOG	5	$568.964	$2844.82	16:49:39
Buy	GOOG	10	$568.964	$5689.64	16:53:06
Buy	MSFT	100	$29.62	$2962	16:53:50
Sell	GOOG	5	$568.964	$2844.82	16:54:36
Sell	MSFT	100	$29.62	$2962	16:54:57
Buy	GOOG	5	$568.964	$2844.82	16:55:48
